"거주자우선주차구획번호",거주자우선주차구획위도,거주자우선주차구획경도,거주자우선주차구역명,소재지도로명주소,소재지지번주소,운영형태,사용시간대정보,사용기간,이용요금,이용요금할인정보,이용요금결제방법,이용요금환불안내정보,정기접수시작일자,정기접수종료일자,신청방법,신청서류,관리기관전화번호,관리기관명,데이터기준일자
11215-광장_234,37.54671101,127.1037539,지정구간,,서울특별시 광진구 광장동 256-4,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_235,37.54612693,127.1041226,지정구간,,서울특별시 광진구 광장동 244-7,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_235-1,37.54612693,127.1041226,지정구간,,서울특별시 광진구 광장동 244-7,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_236,37.54612693,127.1041226,지정구간,,서울특별시 광진구 광장동 244-7,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_237,37.54612693,127.1041226,지정구간,,서울특별시 광진구 광장동 244-7,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_238,37.54612693,127.1041226,지정구간,,서울특별시 광진구 광장동 244-7,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_239,37.54612693,127.1041226,지정구간,,서울특별시 광진구 광장동 244-7,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_240,37.54612693,127.1041226,지정구간,,서울특별시 광진구 광장동 244-7,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_241,37.54612693,127.1041226,지정구간,,서울특별시 광진구 광장동 244-7,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_241-1,37.54612693,127.1041226,지정구간,,서울특별시 광진구 광장동 244-7,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_242,37.54612693,127.1041226,지정구간,,서울특별시 광진구 광장동 244-7,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_243,37.54690769,127.1041757,지정구간,,서울특별시 광진구 광장동 250,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_244,37.54690769,127.1041757,지정구간,,서울특별시 광진구 광장동 250,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
